question,answer
What is the return policy?,You can return the product within 30 days if unopened.
Do you offer warranties?,"Yes, all products come with a one-year manufacturer warranty."
How long does shipping take?,Standard shipping takes 3-5 business days.
Do you provide international shipping?,"Yes, we ship worldwide with varying delivery times."
Can I track my order?,"Yes, you will receive a tracking link once your order is shipped."
What payment methods do you accept?,"We accept credit/debit cards, PayPal, and Apple Pay."
Is there a discount for bulk purchases?,"Yes, bulk orders may qualify for a discount. Contact support for details."
What should I do if I receive a damaged item?,Please contact customer support with a photo of the damaged product.
Can I cancel my order after placing it?,Orders can be canceled within 24 hours of purchase.
Do you offer technical support?,"Yes, we provide 24/7 technical support for all products."
What are the features of Apple Watch Series 8?,"Apple Watch Series 8 features include ECG, blood oxygen monitoring, and always-on display."
What categories of products do you sell?,"We deal in a variety of products including Smartphones, Laptops, Headphones, Tablets, TVs, Gaming Consoles, Cameras, Drones, and Smart Speakers just to mention a few."
What smartphones do you sell?,"Here is a list of smartphones that we sell: iPhone 14, Samsung Galaxy S23, and Google Pixel 7."
